,ID_ INCIDENCIA,TEMP_F1,ESTADO_TEMP,FECHA_INSPECCION,TAG_EQUIPO,DESCRIPCION_COMPONENTE,RUTA_INSP,LADO_POLIN
79,c871c5bb,31.0,NORMAL,22/05/2025,531-26-2100,POLÍN COLA,R004,LADO LIBRE
80,838baad7A,22.0,NORMAL,14/05/2025,531-26-1100,POLÍN COLA,R004,LADO ACCIONAMIENTO
81,6dcc802f,28.0,NORMAL,22/05/2025,531-26-1100,POLÍN COLA,R004,LADO LIBRE
82,a7a5c23dA,15.0,NORMAL,14/05/2025,531-26-1101,POLÍN COLA,R004,LADO ACCIONAMIENTO
83,4c5d73a4,32.0,NORMAL,22/05/2025,531-26-2100,POLÍN COLA,R004,LADO ACCIONAMIENTO
84,a9a3fbd5,20.0,NORMAL,22/05/2025,531-26-2100,POLÍN MOTRIZ,R004,LADO LIBRE
85,2f5ca034,31.0,NORMAL,22/05/2025,531-26-2100,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
86,16fbbb68,19.0,NORMAL,22/05/2025,531-26-2100,REDUCTOR,R004,LADO ACCIONAMIENTO
87,250dd0e9,33.0,NORMAL,14/05/2025,531-26-2101,REDUCTOR,R004,LADO ACCIONAMIENTO
88,e69fbf9a,21.0,NORMAL,14/05/2025,531-26-2101,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
89,945b9385,22.0,NORMAL,22/05/2025,531-26-2101,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
90,731a1823,33.0,NORMAL,22/05/2025,531-26-2101,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
91,07b7b831,46.0,ENFRIAR,22/05/2025,531-26-2101,REDUCTOR,R004,LADO ACCIONAMIENTO
92,c140b1b5,25.0,NORMAL,22/05/2025,531-26-1101,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
93,a20fbcca,48.0,ENFRIAR,14/05/2025,531-26-1101,REDUCTOR,R004,LADO ACCIONAMIENTO
94,3043208d,17.0,NORMAL,22/05/2025,531-26-1101,POLÍN MOTRIZ,R004,
95,ead5218f,44.0,NORMAL,22/05/2025,531-26-1101,REDUCTOR,R004,LADO ACCIONAMIENTO
96,e57d4fe3c,17.0,NORMAL,14/05/2025,531-26-1157,POLÍN COLA,R007,LADO LIBRE
97,e57d4fe3,17.0,NORMAL,22/05/2025,531-26-1157,POLÍN COLA,R007,LADO LIBRE
98,bbc71692c,13.0,NORMAL,14/05/2025,531-26-1157,POLÍN COLA,R007,LADO ACCIONAMIENTO
99,bbc71692,14.0,NORMAL,22/05/2025,531-26-1157,POLÍN COLA,R007,LADO ACCIONAMIENTO
100,bee03a3dc,22.0,NORMAL,14/05/2025,531-26-1157,POLÍN MOTRIZ,R007,LADO ACCIONAMIENTO
101,bee03a3d,22.0,NORMAL,22/05/2025,531-26-1157,POLÍN MOTRIZ,R007,LADO ACCIONAMIENTO
102,72d60fa0c,39.0,NORMAL,14/05/2025,531-26-1157,REDUCTOR,R007,LADO ACCIONAMIENTO
103,72d60fa0,39.0,NORMAL,22/05/2025,531-26-1157,REDUCTOR,R007,LADO ACCIONAMIENTO
104,beb928dcc,33.0,NORMAL,14/05/2025,531-26-1157,POLÍN MOTRIZ,R007,LADO LIBRE
105,beb928dc,33.0,NORMAL,22/05/2025,531-26-1157,POLÍN MOTRIZ,R007,LADO LIBRE
106,31d64bc8,21.0,NORMAL,22/05/2025,531-26-1162,POLÍN COLA,R007,LADO LIBRE
107,54c0b6ea,22.0,NORMAL,22/05/2025,531-26-1162,POLÍN COLA,R007,LADO ACCIONAMIENTO
108,1f7d472bc,23.0,NORMAL,14/05/2025,531-26-1163,POLÍN MOTRIZ,R007,LADO ACCIONAMIENTO
109,1f7d472b,23.0,NORMAL,22/05/2025,531-26-1163,POLÍN MOTRIZ,R007,LADO ACCIONAMIENTO
110,f58819f8c,33.0,NORMAL,14/05/2025,531-26-1163,REDUCTOR,R007,LADO ACCIONAMIENTO
111,f58819f8,33.0,NORMAL,22/05/2025,531-26-1163,REDUCTOR,R007,LADO ACCIONAMIENTO
112,88bc4ac3c,22.0,NORMAL,14/05/2025,531-26-1163,POLÍN MOTRIZ,R007,LADO LIBRE
113,88bc4ac3,22.0,NORMAL,22/05/2025,531-26-1163,POLÍN MOTRIZ,R007,LADO LIBRE
114,802d5978c,16.0,NORMAL,14/05/2025,531-26-1163,POLÍN COLA,R007,LADO ACCIONAMIENTO
115,802d5978,16.0,NORMAL,22/05/2025,531-26-1163,POLÍN COLA,R007,LADO ACCIONAMIENTO
116,77242331,15.0,NORMAL,22/05/2025,531-26-1162,POLÍN MOTRIZ,R007,LADO LIBRE
117,3b2d4c05,19.0,NORMAL,22/05/2025,531-26-1162,POLÍN MOTRIZ,R007,LADO ACCIONAMIENTO
118,9e75f8f3c,41.0,NORMAL,14/05/2025,531-26-1162,REDUCTOR,R007,LADO ACCIONAMIENTO
119,9e75f8f3,41.0,NORMAL,22/05/2025,531-26-1162,REDUCTOR,R007,LADO ACCIONAMIENTO
120,8f367734,16.0,NORMAL,22/05/2025,531-26-1164,POLÍN COLA,R007,LADO ACCIONAMIENTO
121,f0cbb97b,33.0,NORMAL,22/05/2025,531-26-1164,REDUCTOR,R007,
122,fcf90d99c,14.0,NORMAL,20/05/2025,531-26-2120,POLÍN MOTRIZ,R005,LADO LIBRE
123,fcf90d99,14.0,NORMAL,23/05/2025,531-26-2120,POLÍN MOTRIZ,R005,LADO LIBRE
124,b90fd154c,23.0,NORMAL,20/05/2025,531-26-2120,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
125,b90fd154,23.0,NORMAL,23/05/2025,531-26-2120,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
126,a8ff2757c,32.0,NORMAL,20/05/2025,531-26-2120,REDUCTOR,R005,LADO ACCIONAMIENTO
127,a8ff2757,32.0,NORMAL,23/05/2025,531-26-2120,REDUCTOR,R005,LADO ACCIONAMIENTO
128,b84f060dc,11.0,NORMAL,20/05/2025,531-26-2120,POLÍN COLA,R005,LADO LIBRE
129,b84f060d,11.0,NORMAL,23/05/2025,531-26-2120,POLÍN COLA,R005,LADO LIBRE
130,49d1ed15,12.0,NORMAL,20/05/2025,531-26-2120,POLÍN COLA,R005,LADO ACCIONAMIENTO
131,49d1ed15c,12.0,NORMAL,23/05/2025,531-26-2120,POLÍN COLA,R005,LADO ACCIONAMIENTO
132,69203c95c,10.0,NORMAL,20/05/2025,531-26-2121,POLÍN COLA,R005,LADO LIBRE
133,69203c95,10.0,NORMAL,23/05/2025,531-26-2121,POLÍN COLA,R005,LADO LIBRE
134,ac442801c,10.0,NORMAL,20/05/2025,531-26-2121,POLÍN COLA,R005,LADO ACCIONAMIENTO
135,ac442801,10.0,NORMAL,23/05/2025,531-26-2121,POLÍN COLA,R005,LADO ACCIONAMIENTO
136,db96d53ac,19.0,NORMAL,20/05/2025,531-26-2121,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
137,db96d53a,19.0,NORMAL,23/05/2025,531-26-2121,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
138,6773f044c,31.0,NORMAL,20/05/2025,531-26-2121,REDUCTOR,R005,LADO ACCIONAMIENTO
139,6773f044,31.0,NORMAL,23/05/2025,531-26-2121,REDUCTOR,R005,LADO ACCIONAMIENTO
140,ebc85496c,14.0,NORMAL,20/05/2025,531-26-2121,POLÍN MOTRIZ,R005,LADO LIBRE
141,ebc85496,14.0,NORMAL,23/05/2025,531-26-2121,POLÍN MOTRIZ,R005,LADO LIBRE
142,4e0be816c,20.0,NORMAL,20/05/2025,531-26-1121,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
143,4e0be816,20.0,NORMAL,23/05/2025,531-26-1121,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
144,08f2c9cfc,33.0,NORMAL,20/05/2025,531-26-1121,REDUCTOR,R005,LADO ACCIONAMIENTO
145,08f2c9cf,33.0,NORMAL,23/05/2025,531-26-1121,REDUCTOR,R005,LADO ACCIONAMIENTO
146,f717ffd8c,16.0,NORMAL,20/05/2025,531-26-1121,POLÍN MOTRIZ,R005,LADO LIBRE
147,f717ffd8,16.0,NORMAL,23/05/2025,531-26-1121,POLÍN MOTRIZ,R005,LADO LIBRE
148,76087c21c,11.0,NORMAL,20/05/2025,531-26-1121,POLÍN COLA,R005,LADO ACCIONAMIENTO
149,76087c21,11.0,NORMAL,23/05/2025,531-26-1121,POLÍN COLA,R005,LADO ACCIONAMIENTO
150,e2e657edc,13.0,NORMAL,20/05/2025,531-26-1121,POLÍN COLA,R005,LADO LIBRE
151,e2e657ed,13.0,NORMAL,23/05/2025,531-26-1121,POLÍN COLA,R005,LADO LIBRE
152,3653a9c1c,10.0,NORMAL,20/05/2025,531-26-1120,POLÍN COLA,R005,LADO ACCIONAMIENTO
153,3653a9c1,10.0,NORMAL,23/05/2025,531-26-1120,POLÍN COLA,R005,LADO ACCIONAMIENTO
154,753db42ec,10.0,NORMAL,20/05/2025,531-26-1120,POLÍN COLA,R005,LADO LIBRE
155,753db42e,10.0,NORMAL,23/05/2025,531-26-1120,POLÍN COLA,R005,LADO LIBRE
156,7c321f62c,15.0,NORMAL,20/05/2025,531-26-1120,POLÍN MOTRIZ,R005,LADO LIBRE
157,7c321f62,15.0,NORMAL,23/05/2025,531-26-1120,POLÍN MOTRIZ,R005,LADO LIBRE
158,88ba288cc,25.0,NORMAL,20/05/2025,531-26-1120,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
159,88ba288c,25.0,NORMAL,23/05/2025,531-26-1120,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
160,5f58becac,38.0,NORMAL,20/05/2025,531-26-1120,REDUCTOR,R005,LADO ACCIONAMIENTO
161,5f58beca,38.0,NORMAL,23/05/2025,531-26-1120,REDUCTOR,R005,LADO ACCIONAMIENTO
162,6b7387c5,19.0,NORMAL,23/05/2025,531-26-1124,POLÍN COLA,R005,LADO ACCIONAMIENTO
163,dbb6f332,18.0,NORMAL,23/05/2025,531-26-1124,POLÍN COLA,R005,LADO LIBRE
164,825c88fd,15.0,NORMAL,23/05/2025,531-26-2124,POLÍN COLA,R005,LADO LIBRE
165,36f48949,17.0,NORMAL,23/05/2025,531-26-2124,POLÍN COLA,R005,LADO ACCIONAMIENTO
166,c382bb0d,40.0,NORMAL,23/05/2025,531-26-2124,POLÍN MOTRIZ,R005,LADO LIBRE
167,265a99a2,39.0,NORMAL,23/05/2025,531-26-1124,POLÍN MOTRIZ,R005,LADO LIBRE
168,5f7fc7ec,23.0,NORMAL,23/05/2025,531-26-2124,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
169,40fad377,53.0,ENFRIAR,23/05/2025,531-26-2124,REDUCTOR,R005,LADO ACCIONAMIENTO
170,7a20a5a7,39.0,NORMAL,23/05/2025,531-26-1124,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
171,9a88bf04,52.0,ENFRIAR,23/05/2025,531-26-1124,REDUCTOR,R005,LADO ACCIONAMIENTO
172,109022f5,26.0,NORMAL,23/05/2025,531-26-1152,POLÍN COLA,R005,LADO ACCIONAMIENTO
173,349f2593,23.0,NORMAL,23/05/2025,531-26-1152,POLÍN COLA,R005,LADO LIBRE
174,2814a777,36.0,NORMAL,03/06/2025,531-26-1152,POLÍN MOTRIZ,R005,LADO LIBRE
175,9f65c528,43.0,NORMAL,23/05/2025,531-26-1152,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
176,342e5b07,49.0,ENFRIAR,23/05/2025,531-26-1152,REDUCTOR,R005,LADO ACCIONAMIENTO
177,2da5b5f5c,20.0,NORMAL,09/05/2025,531-26-2152,POLÍN COLA,R005,LADO LIBRE
178,2da5b5f5v,20.0,NORMAL,20/05/2025,531-26-2152,POLÍN COLA,R005,LADO LIBRE
179,2da5b5f5,20.0,NORMAL,23/05/2025,531-26-2152,POLÍN COLA,R005,LADO LIBRE
180,2f645687c,27.0,NORMAL,09/05/2025,531-26-2152,POLÍN COLA,R005,LADO ACCIONAMIENTO
181,2f645687v,27.0,NORMAL,20/05/2025,531-26-2152,POLÍN COLA,R005,LADO ACCIONAMIENTO
182,2f645687,27.0,NORMAL,23/05/2025,531-26-2152,POLÍN COLA,R005,LADO ACCIONAMIENTO
183,c8da4c9fc,32.0,NORMAL,09/05/2025,531-26-2152,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
184,c8da4c9fv,32.0,NORMAL,20/05/2025,531-26-2152,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
185,c8da4c9f,32.0,NORMAL,23/05/2025,531-26-2152,POLÍN MOTRIZ,R005,LADO ACCIONAMIENTO
186,b60c477fc,43.0,NORMAL,09/05/2025,531-26-2152,REDUCTOR,R005,LADO ACCIONAMIENTO
187,b60c477fv,44.0,NORMAL,20/05/2025,531-26-2152,REDUCTOR,R005,LADO ACCIONAMIENTO
188,b60c477f,44.0,NORMAL,23/05/2025,531-26-2152,REDUCTOR,R005,LADO ACCIONAMIENTO
189,929a28c5c,32.0,NORMAL,09/05/2025,531-26-2152,POLÍN MOTRIZ,R005,LADO LIBRE
190,929a28c5v,32.0,NORMAL,20/05/2025,531-26-2152,POLÍN MOTRIZ,R005,LADO LIBRE
191,929a28c5,32.0,NORMAL,23/05/2025,531-26-2152,POLÍN MOTRIZ,R005,LADO LIBRE
192,5d7e03c2,14.0,NORMAL,23/05/2025,531-26-5102,POLÍN MOTRIZ,R006,LADO LIBRE
193,5c5cdff0,13.0,NORMAL,23/05/2025,531-26-5102,POLÍN MOTRIZ,R006,LADO ACCIONAMIENTO
194,6c9ff40b,25.0,NORMAL,23/05/2025,531-26-5102,REDUCTOR,R006,LADO ACCIONAMIENTO
195,930d5c58,13.0,NORMAL,23/05/2025,531-26-5102,POLÍN COLA,R006,LADO LIBRE
196,2e6385fe,12.0,NORMAL,23/05/2025,531-26-5102,POLÍN COLA,R006,LADO ACCIONAMIENTO
197,a855409a,10.0,NORMAL,23/05/2025,531-26-5100,POLÍN MOTRIZ,R006,LADO ACCIONAMIENTO
198,883291c7,23.0,NORMAL,23/05/2025,531-26-5100,REDUCTOR,R006,
199,0c8bdea6,10.0,NORMAL,23/05/2025,531-26-5100,POLÍN MOTRIZ,R006,LADO LIBRE
200,07639a40,10.0,NORMAL,23/05/2025,531-26-5100,POLÍN COLA,R006,LADO LIBRE
201,3ba5a79e,10.0,NORMAL,23/05/2025,531-26-5100,POLÍN COLA,R006,LADO ACCIONAMIENTO
202,4705b5e9,23.0,NORMAL,28/05/2025,531-26-1154,POLÍN COLA,R009,LADO ACCIONAMIENTO
203,9d54857e,20.0,NORMAL,28/05/2025,531-26-1154,POLÍN COLA,R009,LADO LIBRE
204,8a3b343e,23.0,NORMAL,28/05/2025,531-26-2154,POLÍN COLA,R009,LADO ACCIONAMIENTO
205,88a56ec7,18.0,NORMAL,28/05/2025,531-26-2154,POLÍN COLA,R009,LADO LIBRE
206,e294d963,23.0,NORMAL,28/05/2025,531-26-2154,POLÍN CONDUCIDO CONTRAPESO,R009,LADO LIBRE
207,5610d758,20.0,NORMAL,28/05/2025,531-26-2154,POLÍN ENVOLVENTE,R009,
208,295aa7cb,16.0,NORMAL,28/05/2025,531-26-2154,POLÍN CONDUCIDO CONTRAPESO,R009,LADO LIBRE
209,d86585a4,22.0,NORMAL,28/05/2025,531-26-1154,POLÍN CONDUCIDO CONTRAPESO,R009,LADO ACCIONAMIENTO
210,acac2146,20.0,NORMAL,28/05/2025,531-26-1154,POLÍN CONDUCIDO CONTRAPESO,R009,LADO ACCIONAMIENTO
211,de7a8f7f,28.0,NORMAL,28/05/2025,531-26-2154,POLÍN MOTRIZ,R009,LADO ACCIONAMIENTO
212,3baf58d8,39.0,NORMAL,28/05/2025,531-26-2154,REDUCTOR,R009,LADO ACCIONAMIENTO
213,bb4aa234,35.0,NORMAL,28/05/2025,531-26-2154,POLÍN MOTRIZ,R009,LADO LIBRE
214,49f94a51,32.0,NORMAL,28/05/2025,531-26-1154,POLÍN MOTRIZ,R009,LADO ACCIONAMIENTO
215,d672a051,50.0,NORMAL,28/05/2025,531-26-1154,REDUCTOR,R009,LADO ACCIONAMIENTO
216,18e5dc04,21.0,NORMAL,28/05/2025,531-26-1154,POLÍN MOTRIZ,R009,LADO LIBRE
217,838baad7,23.0,NORMAL,22/05/2025,531-26-1100,POLÍN COLA,R004,LADO ACCIONAMIENTO
218,d8aeeec2,30.0,ENFRIAR,02/06/2025,531-26-2100,POLÍN COLA,R004,LADO LIBRE
219,58fcef3a,22.0,NORMAL,02/06/2025,531-26-1100,POLÍN COLA,R004,LADO LIBRE
220,a7a5c23dS,16.0,NORMAL,22/05/2025,531-26-1101,POLÍN COLA,R004,LADO ACCIONAMIENTO
221,5229787b,18.0,NORMAL,02/06/2025,531-26-1100,POLÍN ENVOLVENTE,R004,LADO LIBRE
222,16e9c7f1,16.0,NORMAL,02/06/2025,531-26-1100,POLÍN ENVOLVENTE,R004,LADO LIBRE
223,99a23f54,13.0,NORMAL,02/06/2025,531-26-2100,POLÍN ENVOLVENTE,R004,LADO ACCIONAMIENTO
224,017ecce5,21.0,NORMAL,02/06/2025,531-26-2100,POLÍN ENVOLVENTE,R004,LADO LIBRE
225,687c40d1,15.0,NORMAL,02/06/2025,531-26-2100,POLÍN MOTRIZ,R004,LADO LIBRE
226,0910a68c,65.0,REQUIERE CAMBIO,02/06/2025,531-26-2100,REDUCTOR,R004,LADO ACCIONAMIENTO
227,bc1c7393,34.0,ENFRIAR,02/06/2025,531-26-2100,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
228,5a9495e7,16.0,NORMAL,02/06/2025,531-26-1100,POLÍN MOTRIZ,R004,LADO LIBRE
229,5a9495e7c,16.0,NORMAL,14/05/2025,531-26-1100,POLÍN MOTRIZ,R004,LADO LIBRE
230,d70192b1cA,29.0,ENFRIAR,14/05/2025,531-26-1100,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
231,d70192b1c,30.0,ENFRIAR,22/05/2025,531-26-1100,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
232,d70192b1,30.0,ENFRIAR,02/06/2025,531-26-1100,POLÍN MOTRIZ,R004,LADO ACCIONAMIENTO
